endUserName,buildingName,floorName,name,created,initials
BelGaN  (vh ON Semiconductor),Fab 3,1st,Plenum,2024-01-31T14:23:21.362487,FR
TNO Nanolab,Nanolab,Ground,P.00.710,2024-01-04T10:51:43.128669,FR
Urenco Nederland B.V.,-,check,check,2023-11-30T11:57:29.184454,FR
Urenco Nederland B.V.,-,RA Afval opslag,-,2023-11-30T11:55:31.424788,FR
Ncardia (via Gascontrol),BP1,2nd,1216,2023-11-30T11:45:42.431991,FR
Dr. Johannes Heidenhain GmbH,TOR1,Cleanroom E92,chech!,2023-11-30T11:37:50.668034,FR
Dr. Johannes Heidenhain GmbH,TOR1,Cleanroom E92,Check!,2023-11-30T11:37:09.744075,FR
Nexperia Hamburg - L Building,L,1,L115,2023-11-30T10:21:09.364804,FR
Nexperia Hamburg - L Building,L,E,L.050 - LE-Grauraum,2023-11-30T10:05:22.183872,FR
BelGaN  (vh ON Semiconductor),Fab 2,Basement,Basement,2023-11-07T14:36:37,FR
